DSID mX[GeV] mY[GeV]
389982 250 200
389983 250 220
389984 275 195
389985 275 225
389986 275 245
389987 300 220
389988 300 250
389989 300 270
389990 325 245
389991 325 275
389992 325 295
389993 350 270
389994 350 300
389995 350 320
389996 375 295
389997 375 325
389998 375 345
389999 400 320
390000 400 350
390001 400 370
390002 425 345
390003 425 375
390004 425 395
390005 450 370
390006 450 400
390007 450 420
390008 475 395
390009 475 425
390010 475 445
390011 500 420
390012 500 450
390013 500 470
390014 525 445
390016 525 495
390017 550 470
390018 550 500
390019 550 520
389940 200 110
389941 225 135
389942 225 075
389943 250 100
389944 250 130
389945 250 160
389946 275 125
389947 275 155
389948 275 185
389949 300 150
389950 300 180
389951 300 210
389952 325 175
389953 325 205
389954 325 235
389955 350 200
389956 350 230
389957 350 260
389958 375 225
389959 375 255
389960 375 285
389961 400 250
389962 400 280
389963 400 310
389964 425 275
389965 425 305
389966 425 335
389967 450 300
389968 450 330
389969 450 360
389970 475 325
389971 475 355
389972 475 385
389973 500 350
389974 500 380
389975 500 410
389976 525 375
389977 525 405
389978 525 435
389979 550 400
389980 550 430
389981 550 460
