DSID mX[GeV] mY[GeV]
389940 200 110
389941 225 135
389942 225 075
389943 250 100
389944 250 130
389945 250 160
389946 275 125
389947 275 155
389948 275 185
389949 300 150
389950 300 180
389951 300 210
389952 325 175
389953 325 205
389954 325 235
389955 350 200
389956 350 230
389957 350 260
389958 375 225
389959 375 255
389960 375 285
389961 400 250
389962 400 280
389963 400 310
389964 425 275
389965 425 305
389966 425 335
389967 450 300
389968 450 330
389969 450 360
389970 475 325
389971 475 355
389972 475 385
389973 500 350
389974 500 380
389975 500 410
389976 525 375
389977 525 405
389978 525 435
389979 550 400
389980 550 430
389981 550 460
