DSID mX[GeV] mY[GeV]
389982 250 200
389983 250 220
389984 275 195
389985 275 225
389986 275 245
389987 300 220
389988 300 250
389989 300 270
389990 325 245
389991 325 275
389992 325 295
389993 350 270
389994 350 300
389995 350 320
389996 375 295
389997 375 325
389998 375 345
389999 400 320
390000 400 350
390001 400 370
390002 425 345
390003 425 375
390004 425 395
390005 450 370
390006 450 400
390007 450 420
390008 475 395
390009 475 425
390010 475 445
390011 500 420
390012 500 450
390013 500 470
390014 525 445
390016 525 495
390017 550 470
390018 550 500
390019 550 520
